iter	RMSE
123	0.6205891271
124	0.6204525967
125	0.6203232982
126	0.6202009761
127	0.6200545424
128	0.6199193638
129	0.6197790966
130	0.6196051394
131	0.6194429107
132	0.6193437073
133	0.6192401071
134	0.6191242472
135	0.6190248747
136	0.6189000886
137	0.6187650205
138	0.618690966
139	0.6185527365
140	0.6184339686
141	0.6183024478
142	0.6181545213
143	0.6180278571
144	0.6179656154
145	0.617843645
146	0.6177334024
147	0.6175254711
148	0.6173795217
149	0.6173356878
150	0.6172265233
151	0.6171301026
152	0.6169487812
153	0.6169075275
154	0.6167502908
155	0.6165702562
156	0.6165157069
157	0.6163801199
158	0.6162835063
159	0.6161692395
160	0.6160292623
161	0.6158647063
162	0.6157858185
163	0.6157122061
164	0.6156142384
165	0.6154935919
166	0.6153874322
167	0.6152735051
168	0.6151427846
169	0.6150236308
170	0.6149129406
171	0.6148668287
172	0.6147911111
173	0.6145633251
174	0.614432438
175	0.6143855821
176	0.6142554827
177	0.6142367552
178	0.6141150223
179	0.614097818
180	0.6139120045
181	0.613795963
182	0.6137332616
183	0.6137241409
184	0.61361994
185	0.6135514364
186	0.6135150305
187	0.6133741465
188	0.6133644537
189	0.6133250887
190	0.6132986839
191	0.613295118
192	0.613100958
193	0.6130739257
194	0.6130356567
195	0.6129804688
196	0.6129539372
197	0.612799737
198	0.6126739507
199	0.6125365747
200	0.6125048098
201	0.6124026159
202	0.6122615778
203	0.6121766389
204	0.612161963
205	0.6121065239
206	0.6120786903
207	0.6119825817
208	0.6119025862
209	0.6118752107
210	0.6118498224
211	0.6117090549
212	0.6115843929
213	0.6115620393
214	0.6114543462
215	0.6113095991
216	0.6111698162
217	0.611041851
218	0.6109688483
219	0.6108933996
220	0.610832028
221	0.610697827
222	0.6106011058
223	0.6104983839
224	0.6104208975
225	0.6103368237
226	0.6102267171
227	0.6101558273
228	0.610054143
229	0.6099689036
230	0.6098923187
231	0.6098089709
232	0.6097265905
233	0.6096065483
234	0.6095233654
235	0.6094016439
236	0.6092631952
237	0.6091452261
238	0.6090282897
239	0.6089180063
240	0.6088310855
241	0.6087396505
242	0.608633746
243	0.6084906751
244	0.6084107159
245	0.6083383368
246	0.6082528931
247	0.6081406135
248	0.6080555109
249	0.6079455715
250	0.6078597082
251	0.6077194769
252	0.6075899681
253	0.6075475023
254	0.607484973
255	0.6073718748
256	0.6072835612
257	0.6071541242
258	0.6071379766
259	0.6071094618
260	0.6070088548
261	0.6069381215
262	0.6068180466
263	0.6066787169
264	0.6065515151
265	0.6064942179
266	0.6064325196
267	0.6063202163
268	0.606234848
269	0.6061478995
270	0.6060528846
271	0.6059228193
272	0.60581386
273	0.6057003408
274	0.605604299
275	0.6055429571
276	0.6054533987
277	0.6053610638
278	0.6052891416
279	0.6051730645
280	0.6050872163
281	0.6049739239
282	0.6048934454
283	0.604811739
284	0.6047080368
285	0.6046752292
286	0.6045955899
287	0.6045382962
288	0.6044752031
289	0.6043439969
290	0.6042702487
291	0.6041655615
292	0.6040972942
293	0.6039883852
294	0.6039196226
295	0.6038449035
296	0.6037993824
297	0.6037482985
298	0.6036712247
299	0.6036231338
300	0.6035699174
301	0.6034643852
302	0.603355882
303	0.6032908826
304	0.6032034766
305	0.603116606
306	0.6030489571
307	0.6029989696
308	0.6029117125
309	0.6028689071
310	0.6027833182
311	0.6027159751
312	0.6025853235
313	0.6025232621
314	0.6024380349
315	0.6023557707
316	0.6023122679
317	0.6022579277
318	0.6021741205
319	0.6020769269
320	0.6019960335
321	0.6019351179
322	0.6018430785
323	0.6017464992
324	0.60165434
325	0.6015898211
326	0.6014932971
327	0.6014156454
328	0.6013496038
329	0.6012802209
330	0.6012145251
331	0.6011248162
332	0.6010651794
333	0.6009942828
334	0.6009480348
335	0.600879758
336	0.6008047246
337	0.6006771364
338	0.6006112972
339	0.6005218724
340	0.6004748147
341	0.6003837978
342	0.6003365303
343	0.6002438391
344	0.6001229364
345	0.6000213338
346	0.5999172054
347	0.5998185939
348	0.5997497278
349	0.5996751521
350	0.599619102
351	0.599538863
352	0.5994457378
353	0.599359118
354	0.5992875826
355	0.599166255
356	0.5991138309
357	0.5990367615
358	0.5989537026
359	0.5988889138
360	0.5987757712
361	0.5986730101
362	0.598587665
363	0.5985015785
364	0.5984154355
365	0.5982947223
366	0.598221193
367	0.5981683083
368	0.5980995459
369	0.5980640644
370	0.5979552636
371	0.5979284358
372	0.5978695979
373	0.597814983
374	0.5977257582
375	0.5976497249
376	0.5976069843
377	0.5975368857
378	0.5974762601
379	0.597402332
380	0.5973229561
381	0.5972590378
382	0.5972018189
383	0.5971235008
384	0.5970814918
385	0.5970475882
386	0.5969522057
387	0.5968930685
388	0.596841474
389	0.5967925257
390	0.5966981353
391	0.5966122534
392	0.5965563276
393	0.5964541338
394	0.5964220531
395	0.5963753161
396	0.5963099934
397	0.5961918746
398	0.5961239197
399	0.5960313355
400	0.5959643657
401	0.5959049396
402	0.5958452609
403	0.5957808637
404	0.5956696257
405	0.5956389737
406	0.5955627155
407	0.5955145027
408	0.5954223323
409	0.5953539567
410	0.5952957445
411	0.5952540185
412	0.5951851167
413	0.5951342986
414	0.5950413046
415	0.5950205182
416	0.5949880985
417	0.5949237491
418	0.5948525716
419	0.594819228
420	0.5947767178
421	0.5947394399
422	0.594700835
423	0.5946722898
424	0.5945806698
425	0.5945280176
426	0.5944712052
427	0.5944257011
428	0.5943570879
429	0.5942868132
430	0.5942189068
431	0.5941288495
432	0.5940636319
433	0.5939920627
434	0.5939479756
435	0.5938749915
436	0.593809085
437	0.5937795116
438	0.5937242328
439	0.593685349
440	0.593600924
441	0.5935605043
442	0.5934658785
443	0.593454435
444	0.5933920479
445	0.5933180533
446	0.5932453041
447	0.593202729
448	0.5931268636
449	0.5930529067
450	0.5929833096
451	0.5928976578
452	0.5928275997
453	0.5927625652
454	0.5926804652
455	0.5926080787
456	0.5925847397
457	0.5924714917
458	0.5923928684
459	0.5923014301
460	0.5922458034
461	0.5921939951
462	0.5921393173
463	0.5920877369
464	0.5920489482
465	0.5919828165
466	0.591897761
467	0.5918553059
468	0.5917557756
469	0.5917125976
470	0.5916322418
471	0.591545183
472	0.5914715042
473	0.5914123879
474	0.5913491607
475	0.5912948733
476	0.5912394689
477	0.5911845271
478	0.591132433
479	0.5910567922
480	0.5909911111
481	0.5908879069
482	0.5908297979
483	0.5907725343
484	0.5907099458
485	0.590637034
486	0.5906049366
487	0.5905183675
488	0.5904666286
489	0.5903739516
490	0.5903156827
491	0.5902903912
492	0.5902398684
493	0.5901956361
494	0.5901621
495	0.5900910888
496	0.5900229202
497	0.5899559259
498	0.5899040745
499	0.5898527282
500	0.5898065759
501	0.5897830654
502	0.5896902093
503	0.5896046655
504	0.5895338818
505	0.5894648458
506	0.589414758
507	0.5893709202
508	0.5892699311
509	0.5892144285
510	0.5891479072
511	0.5891059052
512	0.5890375068
513	0.5889490503
514	0.588875799
515	0.5888007471
516	0.5887869128
517	0.5887164066
518	0.5886548877
519	0.5885926456
520	0.5885532186
521	0.588509965
522	0.5884530946
523	0.5883766012
524	0.5883228432
525	0.5882683167
526	0.5882071233
527	0.5881374795
528	0.588085079
529	0.5880392039
530	0.5880066002
531	0.5879588198
532	0.5879139642
533	0.5878932732
534	0.5878465654
535	0.587792714
536	0.5877433404
537	0.5876997218
538	0.5876777159
539	0.5876342953
540	0.58756727
541	0.5875348697
542	0.5874998785
543	0.5874504362
544	0.5873960441
545	0.5873572512
546	0.5873028763
547	0.5872523292
548	0.5871977855
549	0.5871392569
550	0.5870676542
551	0.5870196067
552	0.5869607382
553	0.58692786
554	0.5868635781
555	0.58683447
556	0.5867862556
557	0.5867051701
558	0.5866735982
559	0.5865992393
560	0.5865804731
561	0.5865296187
562	0.5864779755
563	0.5864066035
564	0.5863771384
565	0.5863385316
566	0.5862898076
567	0.5862297334
568	0.5861760674
569	0.5860662463
570	0.5860140112
571	0.5859686923
572	0.5859277201
573	0.58587332
574	0.5858279752
575	0.5857534429
576	0.5857159344
577	0.5856908957
578	0.5856440148
579	0.5855605279
580	0.5855077269
581	0.5854444874
582	0.5854012149
583	0.5853224148
584	0.5852678648
585	0.5852238405
586	0.5851732876
587	0.585110346
588	0.5850564486
589	0.5850009571
590	0.5849396553
591	0.5848921754
592	0.5848223668
593	0.584733176
594	0.5846752679
595	0.5845933346
596	0.5845403363
597	0.584502684
598	0.5844250925
599	0.5843555103
600	0.5843087264
601	0.584255565
602	0.5841929466
603	0.5841768452
604	0.5841352032
605	0.5840742271
606	0.5840271484
607	0.5839518803
608	0.5839302546
609	0.5838870405
610	0.5838070232
611	0.5837667694
612	0.5837071858
613	0.5836713625
614	0.583628255
615	0.583575902
616	0.5835328261
617	0.5834458163
618	0.5833834358
619	0.5833459729
620	0.5832956249
621	0.5832617219
622	0.5832158718
623	0.5831625751
624	0.5830749104
625	0.582992527
626	0.5829270403
627	0.5828456829
628	0.5828153316
629	0.5827575731
630	0.5827121196
631	0.5827064931
632	0.5826755265
633	0.5826381835
634	0.582584864
635	0.5825463083
636	0.5824961281
637	0.5824712225
638	0.582398864
639	0.582306295
640	0.5822265083
641	0.5821702556
642	0.582148267
643	0.5820974118
644	0.582048291
645	0.5820001845
646	0.5819386047
647	0.5819024637
648	0.5818822288
649	0.5818340859
650	0.5817926307
651	0.5817654788
652	0.5817102235
653	0.581683341
654	0.5816411282
655	0.5815746614
656	0.5815390376
657	0.581492208
658	0.5814686545
659	0.5814105226
660	0.5813652201
661	0.5813262188
662	0.5812590857
663	0.5811992358
664	0.5811363263
665	0.581111387
666	0.581068425
667	0.5810046012
668	0.5809296017
669	0.5808671539
670	0.5808130417
671	0.5807460938
672	0.580729519
673	0.5806872823
674	0.5806330537
675	0.5805670264
676	0.5805071035
677	0.5804689244
678	0.5804056317
679	0.580367055
680	0.5803181513
681	0.5802585511
682	0.5802102047
683	0.5801522951
684	0.5801055972
685	0.5800671271
686	0.5800218512
687	0.5799783239
688	0.5799337217
689	0.5798995291
690	0.5798662252
691	0.5798151578
692	0.5797611479
693	0.5797362212
694	0.5796918462
695	0.5796389966
696	0.579583365
697	0.5795439946
698	0.5795097179
699	0.5794317284
700	0.579364931
701	0.5793178954
702	0.5792693964
703	0.5792223219
704	0.579155522
705	0.579098405
706	0.5790618981
707	0.5790238278
708	0.5789761477
709	0.5789352979
710	0.5788934065
711	0.5788298088
712	0.5787665347
713	0.5787302116
714	0.5786704627
715	0.5786423967
716	0.578605568
717	0.5785519929
718	0.5784871727
719	0.5784497433
720	0.5784279604
721	0.5783874452
722	0.5783363512
723	0.5783128635
724	0.5782773093
725	0.5782076635
726	0.5781701826
727	0.5780877106
728	0.5780302847
729	0.5779548505
730	0.5778906307
731	0.5778366095
732	0.5777843424
733	0.577734902
734	0.5776939932
735	0.5776457275
736	0.5775882078
737	0.5775672387
738	0.5775135439
739	0.5774669821
740	0.5774147516
741	0.5773518858
742	0.5773076008
743	0.5772710747
744	0.5771992736
745	0.5771832447
746	0.5771589014
747	0.577108499
748	0.5770756443
749	0.577035131
750	0.5769746773
751	0.5769339477
752	0.5768916876
753	0.5768369068
754	0.5767984432
755	0.576715971
756	0.5766552936
757	0.5766113992
758	0.5765551143
759	0.5765326201
760	0.5765012445
761	0.5764442353
762	0.5764056876
763	0.5763735935
764	0.5763182284
765	0.5762727889
766	0.5762166767
767	0.5761414897
768	0.5760898023
769	0.5760526585
770	0.5760075772
771	0.5759395023
772	0.5758964826
773	0.5758440508
774	0.5758081192
775	0.5757731616
776	0.5757037229
777	0.5756503011
778	0.5756245347
779	0.575597016
780	0.575553748
781	0.5754972124
782	0.5754376142
783	0.5753759554
784	0.5753328484
785	0.575290414
786	0.5752349478
787	0.5751966137
788	0.5751647665
789	0.5751135234
790	0.5750550582
791	0.5750318772
792	0.5750088156
793	0.5749636154
794	0.5749256917
795	0.5748912785
796	0.5748405787
797	0.5747963006
798	0.574761144
799	0.5747070017
800	0.5746638221
801	0.5746146161
802	0.5745661308
803	0.5745293557
804	0.5744645416
805	0.5744233348
806	0.5743964177
807	0.5743555536
808	0.5743250586
809	0.5742801482
810	0.5742303844
811	0.5741847643
812	0.5741546587
813	0.5741081742
814	0.5740413335
815	0.5740179388
816	0.5739837717
817	0.5739417604
818	0.5739011789
819	0.5738328784
820	0.5737826123
821	0.5737395215
822	0.5736915843
823	0.5736293351
824	0.573587091
825	0.5735406612
826	0.5735070095
827	0.5734600121
828	0.5734293719
829	0.5733652243
830	0.573345918
831	0.5733169716
832	0.5732670552
833	0.573226585
834	0.5731948239
835	0.5731694147
836	0.5731235727
837	0.573096836
838	0.5730616858
839	0.5730368061
840	0.5729803065
841	0.5729516898
842	0.5729379549
843	0.572912143
844	0.572872513
845	0.57279888
846	0.5727442438
847	0.5727225723
848	0.572709565
849	0.5726643665
850	0.5726256033
851	0.5725892077
852	0.5725555378
853	0.5725190857
854	0.5724618159
855	0.5724419192
856	0.5724023687
857	0.5723575549
858	0.5723257697
859	0.5723050126
860	0.5722679878
861	0.5722326184
862	0.5721987947
863	0.5721574961
864	0.5721386766
865	0.5721109764
866	0.5720781585
867	0.5720345564
868	0.5720035162
869	0.5719839307
870	0.5719549972
871	0.5719468563
872	0.5719010401
